Microns	Tranmission
0.900	2.495E-07
0.901	2.070E-07
0.902	2.266E-07
0.903	1.259E-07
0.904	2.039E-07
0.905	1.810E-07
0.906	1.620E-07
0.907	2.065E-07
0.908	2.655E-07
0.909	2.969E-07
0.910	2.039E-07
0.911	9.710E-08
0.912	7.993E-08
0.913	8.902E-08
0.914	1.536E-07
0.915	1.937E-07
0.916	1.469E-07
0.917	1.449E-07
0.918	9.063E-08
0.919	2.137E-07
0.920	1.474E-07
0.921	2.878E-07
0.922	2.167E-07
0.923	2.162E-07
0.924	1.281E-07
0.925	1.141E-07
0.926	1.590E-07
0.927	1.331E-07
0.928	1.592E-07
0.929	1.143E-07
0.930	1.901E-07
0.931	1.481E-07
0.932	2.716E-07
0.933	2.612E-07
0.934	2.712E-07
0.935	1.711E-07
0.936	8.526E-08
0.937	1.313E-07
0.938	1.129E-07
0.939	1.785E-07
0.940	1.251E-07
0.941	2.633E-07
0.942	2.275E-07
0.943	2.072E-07
0.944	2.100E-07
0.945	3.319E-07
0.946	4.308E-07
0.947	5.103E-07
0.948	4.703E-07
0.949	5.974E-07
0.950	5.929E-07
0.951	7.331E-07
0.952	7.982E-07
0.953	7.478E-07
0.954	7.724E-07
0.955	7.945E-07
0.956	1.050E-06
0.957	1.279E-06
0.958	1.647E-06
0.959	2.094E-06
0.960	2.680E-06
0.961	3.370E-06
0.962	4.152E-06
0.963	4.974E-06
0.964	5.761E-06
0.965	6.613E-06
0.966	7.587E-06
0.967	8.950E-06
0.968	1.063E-05
0.969	1.283E-05
0.970	1.528E-05
0.971	1.815E-05
0.972	2.110E-05
0.973	2.407E-05
0.974	2.681E-05
0.975	2.950E-05
0.976	3.226E-05
0.977	3.565E-05
0.978	4.000E-05
0.979	4.594E-05
0.980	5.388E-05
0.981	6.459E-05
0.982	7.908E-05
0.983	9.832E-05
0.984	1.231E-04
0.985	1.548E-04
0.986	1.935E-04
0.987	2.397E-04
0.988	2.938E-04
0.989	3.556E-04
0.990	4.260E-04
0.991	5.042E-04
0.992	5.925E-04
0.993	6.931E-04
0.994	8.105E-04
0.995	9.500E-04
0.996	1.123E-03
0.997	1.343E-03
0.998	3.358E-02
0.999	7.028E-02
1.000	1.108E-01
1.001	1.226E-01
1.002	1.357E-01
1.003	1.500E-01
1.004	1.685E-01
1.005	1.889E-01
1.006	2.147E-01
1.007	2.440E-01
1.008	2.793E-01
1.009	3.210E-01
1.010	3.704E-01
1.011	4.273E-01
1.012	4.892E-01
1.013	5.532E-01
1.014	6.120E-01
1.015	6.637E-01
1.016	7.041E-01
1.017	7.340E-01
1.018	7.510E-01
1.019	7.603E-01
1.020	7.646E-01
1.021	7.656E-01
1.022	7.660E-01
1.023	7.652E-01
1.024	7.644E-01
1.025	7.639E-01
1.026	7.636E-01
1.027	7.676E-01
1.028	7.694E-01
1.029	7.703E-01
1.030	7.716E-01
1.031	7.741E-01
1.032	7.786E-01
1.033	7.783E-01
1.034	7.797E-01
1.035	7.813E-01
1.036	7.842E-01
1.037	7.834E-01
1.038	7.836E-01
1.039	7.861E-01
1.040	7.887E-01
1.041	7.888E-01
1.042	7.872E-01
1.043	7.864E-01
1.044	7.868E-01
1.045	7.872E-01
1.046	7.886E-01
1.047	7.893E-01
1.048	7.904E-01
1.049	7.909E-01
1.050	7.922E-01
1.051	7.946E-01
1.052	7.974E-01
1.053	8.004E-01
1.054	8.026E-01
1.055	8.038E-01
1.056	8.035E-01
1.057	8.009E-01
1.058	8.022E-01
1.059	8.020E-01
1.060	8.010E-01
1.061	7.988E-01
1.062	7.977E-01
1.063	7.949E-01
1.064	7.905E-01
1.065	7.871E-01
1.066	7.857E-01
1.067	7.810E-01
1.068	7.753E-01
1.069	7.706E-01
1.070	7.658E-01
1.071	7.600E-01
1.072	7.522E-01
1.073	7.469E-01
1.074	7.413E-01
1.075	7.360E-01
1.076	7.308E-01
1.077	7.257E-01
1.078	7.230E-01
1.079	7.179E-01
1.080	7.161E-01
1.081	7.150E-01
1.082	7.166E-01
1.083	7.169E-01
1.084	7.190E-01
1.085	7.201E-01
1.086	7.241E-01
1.087	7.276E-01
1.088	7.347E-01
1.089	7.391E-01
1.090	7.472E-01
1.091	7.535E-01
1.092	7.611E-01
1.093	7.660E-01
1.094	7.721E-01
1.095	7.787E-01
1.096	7.839E-01
1.097	7.897E-01
1.098	7.937E-01
1.099	7.983E-01
1.100	8.003E-01
1.101	8.038E-01
1.102	8.058E-01
1.103	8.077E-01
1.104	8.070E-01
1.105	8.079E-01
1.106	8.081E-01
1.107	8.066E-01
1.108	8.049E-01
1.109	8.034E-01
1.110	8.031E-01
1.111	8.014E-01
1.112	8.009E-01
1.113	7.998E-01
1.114	7.987E-01
1.115	7.948E-01
1.116	7.916E-01
1.117	7.893E-01
1.118	7.861E-01
1.119	7.816E-01
1.120	7.798E-01
1.121	7.773E-01
1.122	7.759E-01
1.123	7.723E-01
1.124	7.734E-01
1.125	7.740E-01
1.126	7.771E-01
1.127	7.787E-01
1.128	7.836E-01
1.129	7.873E-01
1.130	7.911E-01
1.131	7.950E-01
1.132	7.989E-01
1.133	8.023E-01
1.134	8.061E-01
1.135	8.093E-01
1.136	8.130E-01
1.137	8.169E-01
1.138	8.183E-01
1.139	8.227E-01
1.140	8.233E-01
1.141	8.268E-01
1.142	8.302E-01
1.143	8.343E-01
1.144	8.373E-01
1.145	8.392E-01
1.146	8.413E-01
1.147	8.429E-01
1.148	8.445E-01
1.149	8.477E-01
1.150	8.504E-01
1.151	8.538E-01
1.152	8.570E-01
1.153	8.592E-01
1.154	8.620E-01
1.155	8.656E-01
1.156	8.701E-01
1.157	8.758E-01
1.158	8.807E-01
1.159	8.895E-01
1.160	8.914E-01
1.161	8.948E-01
1.162	8.964E-01
1.163	9.016E-01
1.164	9.037E-01
1.165	9.072E-01
1.166	9.086E-01
1.167	9.109E-01
1.168	9.096E-01
1.169	9.109E-01
1.170	9.127E-01
1.171	9.130E-01
1.172	9.136E-01
1.173	9.120E-01
1.174	9.126E-01
1.175	9.121E-01
1.176	9.111E-01
1.177	9.105E-01
1.178	9.086E-01
1.179	9.087E-01
1.180	9.076E-01
1.181	9.079E-01
1.182	9.085E-01
1.183	9.072E-01
1.184	9.072E-01
1.185	9.046E-01
1.186	9.037E-01
1.187	8.985E-01
1.188	8.989E-01
1.189	9.020E-01
1.190	9.028E-01
1.191	8.973E-01
1.192	8.886E-01
1.193	8.864E-01
1.194	8.845E-01
1.195	8.826E-01
1.196	8.798E-01
1.197	8.797E-01
1.198	8.801E-01
1.199	8.817E-01
1.200	8.818E-01
1.201	8.828E-01
1.202	8.843E-01
1.203	8.821E-01
1.204	8.835E-01
1.205	8.824E-01
1.206	8.848E-01
1.207	8.858E-01
1.208	8.862E-01
1.209	8.871E-01
1.210	8.855E-01
1.211	8.873E-01
1.212	8.851E-01
1.213	8.852E-01
1.214	8.832E-01
1.215	8.836E-01
1.216	8.837E-01
1.217	8.804E-01
1.218	8.829E-01
1.219	8.833E-01
1.220	8.864E-01
1.221	8.902E-01
1.222	8.939E-01
1.223	8.992E-01
1.224	8.999E-01
1.225	9.040E-01
1.226	9.086E-01
1.227	9.147E-01
1.228	9.195E-01
1.229	9.232E-01
1.230	9.263E-01
1.231	9.269E-01
1.232	9.289E-01
1.233	9.294E-01
1.234	9.326E-01
1.235	9.325E-01
1.236	9.315E-01
1.237	9.304E-01
1.238	9.302E-01
1.239	9.303E-01
1.240	9.317E-01
1.241	9.329E-01
1.242	9.370E-01
1.243	9.387E-01
1.244	9.417E-01
1.245	9.438E-01
1.246	9.445E-01
1.247	9.457E-01
1.248	9.480E-01
1.249	9.515E-01
1.250	9.556E-01
1.251	9.598E-01
1.252	9.631E-01
1.253	9.662E-01
1.254	9.685E-01
1.255	9.703E-01
1.256	9.714E-01
1.257	9.717E-01
1.258	9.707E-01
1.259	9.692E-01
1.260	9.675E-01
1.261	9.667E-01
1.262	9.649E-01
1.263	9.648E-01
1.264	9.653E-01
1.265	9.653E-01
1.266	9.619E-01
1.267	9.617E-01
1.268	9.623E-01
1.269	9.640E-01
1.270	9.598E-01
1.271	9.538E-01
1.272	9.430E-01
1.273	9.327E-01
1.274	9.122E-01
1.275	8.851E-01
1.276	8.431E-01
1.277	7.936E-01
1.278	7.318E-01
1.279	6.639E-01
1.280	5.919E-01
1.281	5.191E-01
1.282	4.495E-01
1.283	3.841E-01
1.284	3.263E-01
1.285	2.763E-01
1.286	2.342E-01
1.287	2.002E-01
1.288	1.707E-01
1.289	1.472E-01
1.290	1.268E-01
1.291	1.109E-01
1.292	9.677E-02
1.293	8.601E-02
1.294	7.588E-02
1.295	6.797E-02
1.296	5.971E-02
1.297	5.145E-02
1.298	4.258E-02
1.299	3.441E-02
1.300	2.767E-02
1.301	2.211E-02
1.302	1.773E-02
1.303	1.421E-02
1.304	1.150E-02
1.305	9.291E-03
1.306	7.493E-03
1.307	6.100E-03
1.308	4.992E-03
1.309	4.119E-03
1.310	3.425E-03
1.311	2.860E-03
1.312	2.400E-03
1.313	2.021E-03
1.314	1.706E-03
1.315	1.449E-03
1.316	1.228E-03
1.317	1.049E-03
1.318	8.964E-04
1.319	7.691E-04
1.320	6.581E-04
1.321	5.692E-04
