Microns	Transmission
1.000	4.810E-06
1.001	4.771E-06
1.002	4.613E-06
1.003	4.598E-06
1.004	4.645E-06
1.005	5.400E-06
1.006	6.185E-06
1.007	5.174E-06
1.008	4.009E-06
1.009	3.414E-06
1.010	4.121E-06
1.011	4.406E-06
1.012	4.061E-06
1.013	3.792E-06
1.014	3.731E-06
1.015	4.120E-06
1.016	4.002E-06
1.017	3.489E-06
1.018	2.740E-06
1.019	3.103E-06
1.020	3.726E-06
1.021	4.842E-06
1.022	4.261E-06
1.023	4.204E-06
1.024	4.217E-06
1.025	4.748E-06
1.026	4.433E-06
1.027	3.912E-06
1.028	3.442E-06
1.029	2.815E-06
1.030	2.217E-06
1.031	2.318E-06
1.032	2.822E-06
1.033	3.278E-06
1.034	3.190E-06
1.035	3.203E-06
1.036	3.239E-06
1.037	2.998E-06
1.038	2.807E-06
1.039	3.028E-06
1.040	3.587E-06
1.041	3.943E-06
1.042	3.179E-06
1.043	3.397E-06
1.044	3.483E-06
1.045	4.196E-06
1.046	3.694E-06
1.047	3.725E-06
1.048	3.383E-06
1.049	3.449E-06
1.050	3.469E-06
1.051	3.420E-06
1.052	3.272E-06
1.053	3.085E-06
1.054	2.967E-06
1.055	2.673E-06
1.056	2.235E-06
1.057	2.142E-06
1.058	2.297E-06
1.059	2.674E-06
1.060	2.837E-06
1.061	3.066E-06
1.062	3.208E-06
1.063	3.143E-06
1.064	3.337E-06
1.065	3.645E-06
1.066	4.065E-06
1.067	3.871E-06
1.068	3.041E-06
1.069	2.519E-06
1.070	2.718E-06
1.071	3.530E-06
1.072	4.120E-06
1.073	3.878E-06
1.074	3.972E-06
1.075	3.552E-06
1.076	3.532E-06
1.077	2.899E-06
1.078	2.683E-06
1.079	2.534E-06
1.080	2.266E-06
1.081	2.225E-06
1.082	1.978E-06
1.083	2.006E-06
1.084	2.624E-06
1.085	2.708E-06
1.086	3.050E-06
1.087	2.730E-06
1.088	2.940E-06
1.089	2.811E-06
1.090	2.801E-06
1.091	2.818E-06
1.092	2.938E-06
1.093	2.412E-06
1.094	1.880E-06
1.095	1.650E-06
1.096	1.983E-06
1.097	2.294E-06
1.098	2.610E-06
1.099	2.797E-06
1.100	3.224E-06
1.101	3.150E-06
1.102	2.786E-06
1.103	2.407E-06
1.104	2.553E-06
1.105	3.269E-06
1.106	3.520E-06
1.107	2.919E-06
1.108	2.170E-06
1.109	1.842E-06
1.110	1.864E-06
1.111	2.565E-06
1.112	3.126E-06
1.113	3.837E-06
1.114	3.621E-06
1.115	3.189E-06
1.116	2.905E-06
1.117	2.477E-06
1.118	2.606E-06
1.119	2.619E-06
1.120	2.782E-06
1.121	2.438E-06
1.122	1.973E-06
1.123	2.106E-06
1.124	2.330E-06
1.125	2.430E-06
1.126	2.485E-06
1.127	2.669E-06
1.128	3.098E-06
1.129	3.452E-06
1.130	3.574E-06
1.131	3.740E-06
1.132	2.965E-06
1.133	2.716E-06
1.134	2.325E-06
1.135	2.596E-06
1.136	2.619E-06
1.137	2.616E-06
1.138	2.558E-06
1.139	2.391E-06
1.140	2.521E-06
1.141	2.687E-06
1.142	2.677E-06
1.143	2.706E-06
1.144	2.874E-06
1.145	3.281E-06
1.146	2.950E-06
1.147	2.521E-06
1.148	2.363E-06
1.149	2.735E-06
1.150	2.788E-06
1.151	2.843E-06
1.152	2.924E-06
1.153	3.106E-06
1.154	2.970E-06
1.155	2.946E-06
1.156	2.981E-06
1.157	3.150E-06
1.158	2.884E-06
1.159	2.667E-06
1.160	2.567E-06
1.161	2.605E-06
1.162	2.970E-06
1.163	3.146E-06
1.164	3.348E-06
1.165	2.989E-06
1.166	3.154E-06
1.167	3.355E-06
1.168	3.745E-06
1.169	3.918E-06
1.170	3.859E-06
1.171	3.668E-06
1.172	3.090E-06
1.173	3.116E-06
1.174	3.327E-06
1.175	3.483E-06
1.176	3.588E-06
1.177	3.675E-06
1.178	3.788E-06
1.179	3.503E-06
1.180	3.585E-06
1.181	3.185E-06
1.182	3.367E-06
1.183	3.035E-06
1.184	3.205E-06
1.185	3.003E-06
1.186	2.870E-06
1.187	2.801E-06
1.188	2.679E-06
1.189	2.584E-06
1.190	2.481E-06
1.191	2.461E-06
1.192	2.204E-06
1.193	2.328E-06
1.194	2.694E-06
1.195	3.329E-06
1.196	3.560E-06
1.197	3.496E-06
1.198	2.861E-06
1.199	2.903E-06
1.200	2.890E-06
1.201	3.944E-06
1.202	4.358E-06
1.203	4.458E-06
1.204	4.584E-06
1.205	4.516E-06
1.206	4.467E-06
1.207	4.313E-06
1.208	3.957E-06
1.209	4.041E-06
1.210	3.776E-06
1.211	4.058E-06
1.212	4.342E-06
1.213	4.246E-06
1.214	4.231E-06
1.215	3.834E-06
1.216	3.757E-06
1.217	3.671E-06
1.218	3.794E-06
1.219	4.567E-06
1.220	4.782E-06
1.221	4.873E-06
1.222	4.510E-06
1.223	4.300E-06
1.224	4.445E-06
1.225	4.735E-06
1.226	5.151E-06
1.227	5.925E-06
1.228	5.836E-06
1.229	6.013E-06
1.230	5.680E-06
1.231	5.846E-06
1.232	5.546E-06
1.233	5.587E-06
1.234	5.345E-06
1.235	5.549E-06
1.236	5.376E-06
1.237	6.138E-06
1.238	6.901E-06
1.239	7.767E-06
1.240	8.051E-06
1.241	8.018E-06
1.242	8.435E-06
1.243	8.399E-06
1.244	9.162E-06
1.245	9.590E-06
1.246	1.062E-05
1.247	1.131E-05
1.248	1.189E-05
1.249	1.295E-05
1.250	1.389E-05
1.251	1.530E-05
1.252	1.621E-05
1.253	1.781E-05
1.254	1.932E-05
1.255	2.113E-05
1.256	2.269E-05
1.257	2.442E-05
1.258	2.674E-05
1.259	2.917E-05
1.260	3.213E-05
1.261	3.469E-05
1.262	3.849E-05
1.263	4.249E-05
1.264	4.732E-05
1.265	5.209E-05
1.266	5.736E-05
1.267	6.336E-05
1.268	6.965E-05
1.269	7.735E-05
1.270	8.665E-05
1.271	9.742E-05
1.272	1.096E-04
1.273	1.230E-04
1.274	1.391E-04
1.275	1.576E-04
1.276	1.799E-04
1.277	2.054E-04
1.278	2.352E-04
1.279	2.693E-04
1.280	3.089E-04
1.281	3.552E-04
1.282	4.085E-04
1.283	4.695E-04
1.284	5.388E-04
1.285	6.194E-04
1.286	7.147E-04
1.287	8.231E-04
1.288	9.507E-04
1.289	1.101E-03
1.290	1.279E-03
1.291	1.484E-03
1.292	1.733E-03
1.293	2.031E-03
1.294	2.386E-03
1.295	2.822E-03
1.296	3.350E-03
1.297	4.004E-03
1.298	4.808E-03
1.299	5.799E-03
1.300	7.025E-03
1.301	8.531E-03
1.302	1.041E-02
1.303	1.270E-02
